title,totalScore,reviewsCount,street,city,state,website,phone,categoryName,url
domino pizza,2.7,395,1972 flatbush ave,brooklyn,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,718 692 2000,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chijdvmwj6hewokretv_yw_-e3k
domino pizza,3.9,332,3624 broadway,new york,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,212 926 1234,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chiju1-n7gl2wokr7ehiilfipk4
domino pizza,2.4,471,1772a ralph ave,brooklyn,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,718 763 7007,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chijr6dhrrfcwokr7uowcvy1dzk
domino pizza,3.7,551,736 w 181st st,new york,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,212 781 3700,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chij0ugfkad2wokrqna7f7wuojq
domino pizza,4.6,85,86 15a rockaway beach blvd,rockaway beach,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,718 791 9900,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chijcb4x5ehpwokr-zwz_tbb2mm
domino pizza,3.9,429,4797 broadway,new york,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,212 567 8600,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chijwughfpjzwokrrhjbypygue
domino pizza,2.9,551,3514 nostrand ave,brooklyn,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,718 769 3111,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chiju8p2f4newokrgv80akrkrwa
domino pizza,2.5,419,946 southern blvd,bronx,new york,https://www.dominos.com/en/?redirect=homepage&utm_source=google&utm_medium=loclist&utm_campaign=localmap,929 207 0202,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chijhwz8rqd1wokrue_0tx_p1n8
domino pizza,2.6,547,2048 rockaway pkwy,brooklyn,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,718 531 0210,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chijo3k8-tdcwokrz1fbxnfvo-e
domino pizza,2.4,875,41 e 167th st,bronx,new york,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmap,718 293 2170,pizza delivery,https://www.google.com/maps/search/?api=1&query=domino's%20pizza&query_place_id=chijd73efdr0wokrqnrqidfi7rg
