Address,BusinessName,Category,Latitude,Longitude,Working_hour,image1,rating,review,Location
"UNIT NO. 302A, THE GREAT INDIA PLACE, Plot No. A2, Sector 38, Noida, Uttar Pradesh 201301, India",Domino's Pizza,Pizza restaurant,28.5678051,77.3262027,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipMD0A3ooxXgPOhR1-zIz5wjoJiBiycdEP-OK8cm,4.1,2978,Uttar pradesh
"Plot No. M, FC 1, Fourth Floor, Mall of India, 03, Maharaja Agrasen Marg, Sector 18, Noida, Uttar Pradesh 201301, India","Domino's Pizza - Mall of India, Noida",Pizza restaurant,28.5677484,77.3210355,"Saturday-10?AMÐ11?PM,Sunday-10?AMÐ11?PM,Monday-10?AMÐ11?PM,Tuesday-10?AMÐ11?PM,Wednesday-10?AMÐ11?PM,Thursday-10?AMÐ11?PM,Friday-10?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipOViGT2lQvkZMahAQ6S_SY5xFcw5hGbjshzxxq-,4,2883,Uttar pradesh
"Plot No. 274, Ground Floor, India Plaza Building, Jilha Peth Road Swatantra Chowk, Opposite Police Head Quarters, Jalgaon, Maharashtra 425001, India",Domino's Pizza - Jilha Peth Road Jalgaon,Pizza restaurant,21.002959,75.56347,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipNv-a9IEa9HEnj8WWgdWBAgMOmEsuo320RGlwQ,3.9,3722,Maharashtra
"M-42, Connaught Cir, Shankar Market, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",Domino's Pizza - Connaught Place,Pizza restaurant,28.6331397,77.2227335,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipNrRBVdkZ95h0qE7-YgyNQtT9cvPJkrPHBFiQrc,4,11469,Delhi
"Shop No, CP64+5M4, 62, Commercial Rd, near Indian Bank, Upper Bazar, Ooty, Tamil Nadu 643001, India",Domino's Pizza - Ooty,Pizza restaurant,11.4104212,76.7067405,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipM4k1ExDrm13zNbcdryTuo1sPSYqqSa4CI9HBQj,3.5,2932,Tamil Nadu
"187 L, Ground Floor & 1st Floor, Model Town, Jalandhar, Punjab 144001, India",Domino's Pizza - Model Town Jalandhar,Pizza restaurant,31.3084099,75.5781243,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipNi3JQiy0BqPEMWk58jqAJTIfrOdgy8-Lfo8NWJ,4.2,1754,Punjab
"Plot No. 22 A, Grnd Flr, 33X8+VWQ Somalwada Square, Wardha Rd, Somalwada Square, Narendra Nagar, Somalwada, Nagpur, Maharashtra 440005, India",Domino's Pizza - Somalwada,Pizza restaurant,21.0985262,79.0672145,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipOYiH9TzHKfpT0Y6DJTiFZg3bM7ttPkQ73HKeA,4.1,3827,Maharashtra
"Shop No. 1, Ground Flr, Hillside Mall, Khaniyara Rd, Kotwali Bazar Rd, Dharamshala, Himachal Pradesh 176215, India","Domino's Pizza - Hillside Mall, Dharamshala",Pizza restaurant,32.2210286,76.3198274,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipMb2Eys1Qk7Uy9K7em6Df0xwXb_zjownOvHcNFC,4.1,2049,Himachal Pradesh
"Ground Floor, Plot, No: 2578, Gachibowli Rd, Vinayak Nagar, Indira Nagar, Gachibowli, Hyderabad, Telangana 500032, India",Domino's Pizza - Indira Nagar,Pizza restaurant,17.441758,78.3577792,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipPcgdMLR_8REyK5ktiuggdEBuY73RsjqpDmTOKu,3.9,3506,Telangana
"Ground Floor Strand Coffee House, PJ Ramchandani Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra 400005, India",Domino's Pizza - Colaba,Pizza restaurant,18.9182483,72.8292699,"Saturday-11?AMÐ11?PM,Sunday-11?AMÐ11?PM,Monday-11?AMÐ11?PM,Tuesday-11?AMÐ11?PM,Wednesday-11?AMÐ11?PM,Thursday-11?AMÐ11?PM,Friday-11?AMÐ11?PM",https://lh5.googleusercontent.com/p/AF1QipNk8Lh-lhBs4yxMy1peiuOyGHjiFW08uSzUcWhU,3.7,1897,Maharashtra
